"eez_nam","artisanal_fishing","demersal_destructive_fishing","demersal_nondest_high_bycatch","demersal_nondest_low_bycatch","global_cumulative_impact_2013_all_layers.gri","inorganic","invasives","night_lights","ocean_acidification","ocean_pollution","oil_rigs","pelagic_high_bycatch","pelagic_low_bycatch","plumes_fert","plumes_pest","population","shipping","slr","uv","sst"
"Mozambique",0.000954734712259181,0.0566905846944316,0.00692944650392639,0.00605795053707401,3.71647643271221,0.0131596745360082,0.00863571986051859,0.000211243082539143,1.03500720113698,0.139415784149773,0,0.0019437632794704,0.00250026342503496,0.00568163993580272,0.00107284709510043,0.0113533437624446,0.0845900985197812,0.129019103512891,0.548927739915396,1.67287098708091
"RŽpublique du Congo",0.000286211982943709,0.0698712800247314,0.126245172097961,0.0288939475612546,3.9317517551422,0.0147738190239167,0.0327506993099463,0.00120407980357993,0.946878915169445,0.179467829486434,0.0312451467803074,0.165173623911041,0.00223014412267,0.000513652619981761,6.31563351003245e-05,0.00768755640780666,0.111085024766641,0.0788231547211267,0.539818847859961,1.60161692568599
"Peru",0.000210848596251702,0.053730510588207,0.0198360627145719,0.113441075383373,2.63843912132167,0.00696032284239202,0.00472306944704857,0.000495754323774072,0.955007466630668,0.173618873412364,0,0.00335624421720304,0.00387520040201949,0.00381366218029185,0.00106943844959044,0.00375299299243085,0.106699703997435,0.0124764024590353,0.680014538318059,0.49581826980091
"United Kingdom",0.00117600488286901,0.306949330801959,0.174184809431796,0.0857981921327346,5.03954210843048,0.0162653225744218,0.0624901715755015,0.00394280801662664,0.846927012007773,0.362662501135376,2.32098799817106e-05,0,0.0876442523302199,0.0162836170147392,0.00222183401889196,0.020783577325332,0.41918754665376,0.165501577088639,0.671854564425362,1.80982880861015
"Northern Saint-Martin",0.00999878879890592,0.145139129144683,0.128021257967129,0.0410153452413578,4.75188460258561,0.00838562310108126,0.111508479638628,0.00906549921143304,1.02385985005815,0.425475149821061,0,0.00046819230374506,0.0134687817115273,0,0,0.0321321604194108,0.342418672238651,0.199616378937247,0.444901583122443,1.82441803162819
